State,Category,Subcategory,Estimated Population,State Population
New Jersey,Ancestry,German,882264,9005644
New Mexico,Ancestry,German,162734,2088070
New York,Ancestry,German,1858381,19849399
North Carolina,Ancestry,German,1023048,10273419
North Dakota,Ancestry,German,284153,755393
Ohio,Ancestry,German,2764036,11658609
Oklahoma,Ancestry,German,488933,3930864
Oregon,Ancestry,German,712564,4142776
Pennsylvania,Ancestry,German,2939568,12805537
Rhode Island,Ancestry,German,53174,1059639
South Carolina,Ancestry,German,470947,5024369
South Dakota,Ancestry,German,321571,869666
Tennessee,Ancestry,German,620457,6715984
Texas,Ancestry,German,2443965,28304596
Utah,Ancestry,German,327632,3101833
Vermont,Ancestry,German,58967,623657
Virginia,Ancestry,German,878899,8470020
Washington,Ancestry,German,1211913,7405743
West Virginia,Ancestry,German,286473,1815857
Wisconsin,Ancestry,German,2237337,5795483
Wyoming,Ancestry,German,133674,579315
Alabama,Ancestry,Greek,11088,4874747
Alaska,Ancestry,Greek,1346,739795
Arizona,Ancestry,Greek,20064,7016270
Arkansas,Ancestry,Greek,4732,3004279
California,Ancestry,Greek,128600,39536653
Colorado,Ancestry,Greek,22527,5607154
Connecticut,Ancestry,Greek,26239,3588184
Delaware,Ancestry,Greek,5271,961939
District of Columbia,Ancestry,Greek,2103,693972
Florida,Ancestry,Greek,93930,20984400
Georgia,Ancestry,Greek,22935,10429379
Hawaii,Ancestry,Greek,2347,1427538
Idaho,Ancestry,Greek,4144,1716943
Illinois,Ancestry,Greek,96926,12802023
Indiana,Ancestry,Greek,21474,6666818
Iowa,Ancestry,Greek,6185,3145711
Kansas,Ancestry,Greek,4995,2913123
Kentucky,Ancestry,Greek,5356,4454189
Louisiana,Ancestry,Greek,4311,4684333
Maine,Ancestry,Greek,7126,1335907
Maryland,Ancestry,Greek,32390,6052177
Massachusetts,Ancestry,Greek,77499,6859819
Michigan,Ancestry,Greek,41769,9962311
Minnesota,Ancestry,Greek,11204,5576606
Mississippi,Ancestry,Greek,4249,2984100
Missouri,Ancestry,Greek,13753,6113532
Montana,Ancestry,Greek,2752,1050493
Nebraska,Ancestry,Greek,4623,1920076
Nevada,Ancestry,Greek,12018,2998039
New Hampshire,Ancestry,Greek,17559,1342795
New Jersey,Ancestry,Greek,59789,9005644
New Mexico,Ancestry,Greek,3534,2088070
New York,Ancestry,Greek,136615,19849399
North Carolina,Ancestry,Greek,25112,10273419
North Dakota,Ancestry,Greek,614,755393
Ohio,Ancestry,Greek,54168,11658609
Oklahoma,Ancestry,Greek,4946,3930864
Oregon,Ancestry,Greek,14278,4142776
Pennsylvania,Ancestry,Greek,60780,12805537
Rhode Island,Ancestry,Greek,5664,1059639
South Carolina,Ancestry,Greek,12014,5024369
South Dakota,Ancestry,Greek,1066,869666
Tennessee,Ancestry,Greek,14547,6715984
Texas,Ancestry,Greek,45862,28304596
Utah,Ancestry,Greek,12306,3101833
Vermont,Ancestry,Greek,2748,623657
Virginia,Ancestry,Greek,27812,8470020
Washington,Ancestry,Greek,29792,7405743
West Virginia,Ancestry,Greek,4568,1815857
Wisconsin,Ancestry,Greek,18415,5795483
Wyoming,Ancestry,Greek,1950,579315
Alabama,Ancestry,Hungarian,6659,4874747
Alaska,Ancestry,Hungarian,2080,739795
Arizona,Ancestry,Hungarian,29093,7016270
Arkansas,Ancestry,Hungarian,2097,3004279
California,Ancestry,Hungarian,112695,39536653
Colorado,Ancestry,Hungarian,21302,5607154
Connecticut,Ancestry,Hungarian,31938,3588184
Delaware,Ancestry,Hungarian,4544,961939
District of Columbia,Ancestry,Hungarian,2327,693972
Florida,Ancestry,Hungarian,94110,20984400
Georgia,Ancestry,Hungarian,18607,10429379
Hawaii,Ancestry,Hungarian,2400,1427538
Idaho,Ancestry,Hungarian,4420,1716943
Illinois,Ancestry,Hungarian,50611,12802023
Indiana,Ancestry,Hungarian,41048,6666818
Iowa,Ancestry,Hungarian,3055,3145711
Kansas,Ancestry,Hungarian,4486,2913123
Kentucky,Ancestry,Hungarian,8924,4454189
Louisiana,Ancestry,Hungarian,7159,4684333
Maine,Ancestry,Hungarian,3871,1335907
Maryland,Ancestry,Hungarian,21782,6052177
Massachusetts,Ancestry,Hungarian,18833,6859819
Michigan,Ancestry,Hungarian,91332,9962311
Minnesota,Ancestry,Hungarian,12671,5576606
Mississippi,Ancestry,Hungarian,2377,2984100
