State,Category,Subcategory,Estimated Population,State Population
Michigan,Ethnicity,Not Hispanic or Latino,9457913,9962311
Minnesota,Ethnicity,Not Hispanic or Latino,5279940,5576606
Mississippi,Ethnicity,Not Hispanic or Latino,2898065,2984100
Missouri,Ethnicity,Not Hispanic or Latino,5857729,6113532
Montana,Ethnicity,Not Hispanic or Latino,1011560,1050493
Nebraska,Ethnicity,Not Hispanic or Latino,1710159,1920076
Nevada,Ethnicity,Not Hispanic or Latino,2133376,2998039
New Hampshire,Ethnicity,Not Hispanic or Latino,1292402,1342795
New Jersey,Ethnicity,Not Hispanic or Latino,7165211,9005644
New Mexico,Ethnicity,Not Hispanic or Latino,1069726,2088070
New York,Ethnicity,Not Hispanic or Latino,16037745,19849399
North Carolina,Ethnicity,Not Hispanic or Latino,9310953,10273419
North Dakota,Ethnicity,Not Hispanic or Latino,728914,755393
Ohio,Ethnicity,Not Hispanic or Latino,11221847,11658609
Oklahoma,Ethnicity,Not Hispanic or Latino,3513156,3930864
Oregon,Ethnicity,Not Hispanic or Latino,3601852,4142776
Pennsylvania,Ethnicity,Not Hispanic or Latino,11867109,12805537
Rhode Island,Ethnicity,Not Hispanic or Latino,896293,1059639
South Carolina,Ethnicity,Not Hispanic or Latino,4738379,5024369
South Dakota,Ethnicity,Not Hispanic or Latino,838388,869666
Tennessee,Ethnicity,Not Hispanic or Latino,6354781,6715984
Texas,Ethnicity,Not Hispanic or Latino,17145845,28304596
Utah,Ethnicity,Not Hispanic or Latino,2667543,3101833
Vermont,Ethnicity,Not Hispanic or Latino,611725,623657
Virginia,Ethnicity,Not Hispanic or Latino,7679358,8470020
Washington,Ethnicity,Not Hispanic or Latino,6464951,7405743
West Virginia,Ethnicity,Not Hispanic or Latino,1793050,1815857
Wisconsin,Ethnicity,Not Hispanic or Latino,5397636,5795483
Wyoming,Ethnicity,Not Hispanic or Latino,521193,579315
Alabama,Ethnicity,Hispanic or Latino,201970,4874747
Alaska,Ethnicity,Hispanic or Latino,51712,739795
Arizona,Ethnicity,Hispanic or Latino,2202173,7016270
Arkansas,Ethnicity,Hispanic or Latino,223764,3004279
California,Ethnicity,Hispanic or Latino,15477306,39536653
Colorado,Ethnicity,Hispanic or Latino,1206724,5607154
Connecticut,Ethnicity,Hispanic or Latino,578833,3588184
Delaware,Ethnicity,Hispanic or Latino,89540,961939
District of Columbia,Ethnicity,Hispanic or Latino,76526,693972
Florida,Ethnicity,Hispanic or Latino,5370860,20984400
Georgia,Ethnicity,Hispanic or Latino,1001472,10429379
Hawaii,Ethnicity,Hispanic or Latino,150125,1427538
Idaho,Ethnicity,Hispanic or Latino,213619,1716943
Illinois,Ethnicity,Hispanic or Latino,2206927,12802023
Indiana,Ethnicity,Hispanic or Latino,461618,6666818
Iowa,Ethnicity,Hispanic or Latino,185746,3145711
Kansas,Ethnicity,Hispanic or Latino,345510,2913123
Kentucky,Ethnicity,Hispanic or Latino,155163,4454189
Louisiana,Ethnicity,Hispanic or Latino,243620,4684333
Maine,Ethnicity,Hispanic or Latino,21899,1335907
Maryland,Ethnicity,Hispanic or Latino,612709,6052177
Massachusetts,Ethnicity,Hispanic or Latino,811292,6859819
Michigan,Ethnicity,Hispanic or Latino,504398,9962311
Minnesota,Ethnicity,Hispanic or Latino,296666,5576606
Mississippi,Ethnicity,Hispanic or Latino,86035,2984100
Missouri,Ethnicity,Hispanic or Latino,255803,6113532
Montana,Ethnicity,Hispanic or Latino,38933,1050493
Nebraska,Ethnicity,Hispanic or Latino,209917,1920076
Nevada,Ethnicity,Hispanic or Latino,864663,2998039
New Hampshire,Ethnicity,Hispanic or Latino,50393,1342795
New Jersey,Ethnicity,Hispanic or Latino,1840433,9005644
New Mexico,Ethnicity,Hispanic or Latino,1018344,2088070
New York,Ethnicity,Hispanic or Latino,3811654,19849399
North Carolina,Ethnicity,Hispanic or Latino,962466,10273419
North Dakota,Ethnicity,Hispanic or Latino,26479,755393
Ohio,Ethnicity,Hispanic or Latino,436762,11658609
Oklahoma,Ethnicity,Hispanic or Latino,417708,3930864
Oregon,Ethnicity,Hispanic or Latino,540924,4142776
Pennsylvania,Ethnicity,Hispanic or Latino,938428,12805537
Rhode Island,Ethnicity,Hispanic or Latino,163346,1059639
South Carolina,Ethnicity,Hispanic or Latino,285990,5024369
South Dakota,Ethnicity,Hispanic or Latino,31278,869666
Tennessee,Ethnicity,Hispanic or Latino,361203,6715984
Texas,Ethnicity,Hispanic or Latino,11158751,28304596
Utah,Ethnicity,Hispanic or Latino,434290,3101833
Vermont,Ethnicity,Hispanic or Latino,11932,623657
Virginia,Ethnicity,Hispanic or Latino,790662,8470020
Washington,Ethnicity,Hispanic or Latino,940792,7405743
West Virginia,Ethnicity,Hispanic or Latino,22807,1815857
Wisconsin,Ethnicity,Hispanic or Latino,397847,5795483
Wyoming,Ethnicity,Hispanic or Latino,58122,579315
