"","YEAR","MONTH","DAY_OF_MONTH","Region","NumFlights","NumCancels","NumWeatherCancels","NumCarrierCancels","NumNatAirSys","NumSecurity"
"341",2017,3,27,"East",2631,21,0,2,19,0
"342",2017,3,27,"Mid",2868,18,4,6,8,0
"343",2017,3,27,"South",5529,4,0,2,2,0
"344",2017,3,27,"West",5291,6,4,2,0,0
"345",2017,3,28,"East",2574,79,11,12,56,0
"346",2017,3,28,"Mid",2820,25,6,4,15,0
"347",2017,3,28,"South",5353,36,7,12,17,0
"348",2017,3,28,"West",5108,17,5,12,0,0
"349",2017,3,29,"East",2593,8,0,7,1,0
"350",2017,3,29,"Mid",2846,3,2,1,0,0
"351",2017,3,29,"South",5452,64,30,17,17,0
"352",2017,3,29,"West",5209,18,4,14,0,0
"353",2017,3,30,"East",2641,7,0,7,0,0
"354",2017,3,30,"Mid",2869,3,1,0,2,0
"355",2017,3,30,"South",5535,10,1,8,1,0
"356",2017,3,30,"West",5302,103,36,34,33,0
"357",2017,3,31,"East",2635,87,8,21,58,0
"358",2017,3,31,"Mid",2875,28,1,12,15,0
"359",2017,3,31,"South",5524,40,3,21,16,0
"360",2017,3,31,"West",5302,22,14,8,0,0
"361",2017,4,1,"East",2064,35,10,22,3,0
"362",2017,4,1,"Mid",2210,18,6,12,0,0
"363",2017,4,1,"South",4720,30,4,25,1,0
"364",2017,4,1,"West",4520,65,56,7,2,0
"365",2017,4,2,"East",2420,11,0,10,1,0
"366",2017,4,2,"Mid",2741,9,1,3,5,0
"367",2017,4,2,"South",5353,67,28,38,1,0
"368",2017,4,2,"West",5167,79,42,13,24,0
"369",2017,4,3,"East",2630,43,8,16,19,0
"370",2017,4,3,"Mid",2896,9,3,5,1,0
"371",2017,4,3,"South",5515,155,86,63,6,0
"372",2017,4,3,"West",5266,10,0,6,4,0
"373",2017,4,4,"East",2587,37,10,12,15,0
"374",2017,4,4,"Mid",2863,21,5,10,6,0
"375",2017,4,4,"South",5284,37,7,25,5,0
"376",2017,4,4,"West",5082,19,2,17,0,0
"377",2017,4,5,"East",2614,132,82,28,22,0
"378",2017,4,5,"Mid",2877,141,92,26,23,0
"379",2017,4,5,"South",5307,859,609,170,80,0
"380",2017,4,5,"West",5137,58,21,35,2,0
"381",2017,4,6,"East",2661,449,140,170,139,0
"382",2017,4,6,"Mid",2913,360,144,136,80,0
"383",2017,4,6,"South",5449,880,281,519,80,0
"384",2017,4,6,"West",5220,157,44,84,29,0
"385",2017,4,7,"East",2654,244,37,188,19,0
"386",2017,4,7,"Mid",2919,211,21,176,14,0
"387",2017,4,7,"South",5459,512,28,459,25,0
"388",2017,4,7,"West",5251,139,30,102,7,0
"389",2017,4,8,"East",2102,78,1,75,2,0
"390",2017,4,8,"Mid",2200,87,3,83,1,0
"391",2017,4,8,"South",4663,208,4,203,1,0
"392",2017,4,8,"West",4378,52,2,50,0,0
"393",2017,4,9,"East",2451,44,0,44,0,0
"394",2017,4,9,"Mid",2742,30,2,25,3,0
"395",2017,4,9,"South",5291,102,3,98,1,0
"396",2017,4,9,"West",5051,35,1,34,0,0
"397",2017,4,10,"East",2656,17,2,13,2,0
"398",2017,4,10,"Mid",2910,89,64,5,20,0
"399",2017,4,10,"South",5456,46,29,16,1,0
"400",2017,4,10,"West",5194,8,5,2,1,0
"401",2017,4,11,"East",2595,9,1,4,4,0
"402",2017,4,11,"Mid",2864,15,11,2,2,0
"403",2017,4,11,"South",5291,46,31,14,1,0
"404",2017,4,11,"West",5073,24,5,14,5,0
"405",2017,4,12,"East",2611,2,1,1,0,0
"406",2017,4,12,"Mid",2878,5,0,5,0,0
"407",2017,4,12,"South",5310,8,2,6,0,0
"408",2017,4,12,"West",5133,21,1,8,12,0
"409",2017,4,13,"East",2660,4,0,4,0,0
"410",2017,4,13,"Mid",2917,2,1,1,0,0
"411",2017,4,13,"South",5453,5,0,5,0,0
"412",2017,4,13,"West",5217,6,0,6,0,0
"413",2017,4,14,"East",2641,0,0,0,0,0
"414",2017,4,14,"Mid",2921,3,1,2,0,0
"415",2017,4,14,"South",5440,5,0,5,0,0
"416",2017,4,14,"West",5229,11,1,10,0,0
"417",2017,4,15,"East",2077,1,0,1,0,0
"418",2017,4,15,"Mid",2120,2,0,2,0,0
"419",2017,4,15,"South",4537,6,0,5,1,0
"420",2017,4,15,"West",4308,6,0,6,0,0
"421",2017,4,16,"East",2401,3,0,3,0,0
"422",2017,4,16,"Mid",2580,3,0,3,0,0
"423",2017,4,16,"South",5116,5,1,4,0,0
"424",2017,4,16,"West",4921,8,0,4,4,0
"425",2017,4,17,"East",2660,10,2,8,0,0
"426",2017,4,17,"Mid",2915,6,4,2,0,0
"427",2017,4,17,"South",5454,72,53,15,4,0
"428",2017,4,17,"West",5215,24,12,8,4,0
"429",2017,4,18,"East",2598,6,2,4,0,0
"430",2017,4,18,"Mid",2867,2,0,2,0,0
"431",2017,4,18,"South",5295,13,3,9,1,0
"432",2017,4,18,"West",5084,21,1,14,6,0
"433",2017,4,19,"East",2610,2,0,2,0,0
"434",2017,4,19,"Mid",2884,5,2,2,1,0
"435",2017,4,19,"South",5304,3,0,3,0,0
"436",2017,4,19,"West",5134,6,1,5,0,0
"437",2017,4,20,"East",2660,47,30,4,13,0
"438",2017,4,20,"Mid",2916,41,27,10,4,0
"439",2017,4,20,"South",5444,29,10,15,4,0
"440",2017,4,20,"West",5228,5,0,3,2,0
"441",2017,4,21,"East",2664,35,20,6,9,0
"442",2017,4,21,"Mid",2921,11,6,2,3,0
"443",2017,4,21,"South",5461,34,21,11,2,0
"444",2017,4,21,"West",5268,21,7,1,13,0
"445",2017,4,22,"East",2110,2,1,0,1,0
"446",2017,4,22,"Mid",2187,6,1,5,0,0
"447",2017,4,22,"South",4646,12,0,12,0,0
"448",2017,4,22,"West",4396,59,30,9,20,0
"449",2017,4,23,"East",2453,0,0,0,0,0
"450",2017,4,23,"Mid",2748,9,4,4,1,0
"451",2017,4,23,"South",5275,7,2,3,2,0
"452",2017,4,23,"West",5072,158,87,3,68,0
"453",2017,4,24,"East",2669,6,2,4,0,0
"454",2017,4,24,"Mid",2913,6,4,2,0,0
"455",2017,4,24,"South",5449,17,7,10,0,0
"456",2017,4,24,"West",5216,98,62,11,25,0
"457",2017,4,25,"East",2590,68,4,5,59,0
"458",2017,4,25,"Mid",2836,16,1,3,12,0
"459",2017,4,25,"South",5201,21,2,3,16,0
"460",2017,4,25,"West",5052,11,1,4,6,0
"461",2017,4,26,"East",2612,22,1,9,12,0
